snr_db,ber
-20.000000,4.2039000988e-01
-20.000000,4.1868999600e-01
-20.000000,4.1962000728e-01
-20.000000,4.1898000240e-01
-20.000000,4.1820999980e-01
-20.000000,4.1866999865e-01
-20.000000,4.1765999794e-01
-20.000000,4.1806998849e-01
-20.000000,4.1697001457e-01
-20.000000,4.1892001033e-01
-20.000000,4.1846999526e-01
-20.000000,4.1576001048e-01
-20.000000,4.1745999455e-01
-20.000000,4.1975000501e-01
-20.000000,4.1808000207e-01
-19.000000,4.1198998690e-01
-19.000000,4.1462999582e-01
-19.000000,4.1234999895e-01
-19.000000,4.1306999326e-01
-19.000000,4.1525000334e-01
-19.000000,4.1427001357e-01
-19.000000,4.1543999314e-01
-19.000000,4.1692000628e-01
-19.000000,4.1159000993e-01
-18.000000,4.0457999706e-01
-18.000000,4.0053001046e-01
-18.000000,4.0316998959e-01
-18.000000,4.0305000544e-01
-18.000000,4.0536001325e-01
-18.000000,4.0356001258e-01
-18.000000,4.0338000655e-01
-17.000000,3.8565999269e-01
-17.000000,3.8890001178e-01
-17.000000,3.8699001074e-01
-17.000000,3.8872000575e-01
-17.000000,3.8793000579e-01
-17.000000,3.8830000162e-01
-17.000000,3.8596999645e-01
-17.000000,3.8833999634e-01
-17.000000,3.8907000422e-01
-16.000000,3.7810999155e-01
-16.000000,3.7799000740e-01
-16.000000,3.7972000241e-01
-16.000000,3.8266000152e-01
-16.000000,3.7869998813e-01
-16.000000,3.7659999728e-01
-16.000000,3.7803998590e-01
-16.000000,3.7691000104e-01
-15.000000,3.6127001047e-01
-15.000000,3.5943999887e-01
-15.000000,3.5519999266e-01
-15.000000,3.6028000712e-01
-15.000000,3.5572001338e-01
-15.000000,3.5940000415e-01
-15.000000,3.5925999284e-01
-14.000000,3.4687998891e-01
-14.000000,3.4735000134e-01
-14.000000,3.4678998590e-01
-14.000000,3.4470000863e-01
-14.000000,3.4775999188e-01
-14.000000,3.4711000323e-01
-14.000000,3.4503999352e-01
-14.000000,3.4672999382e-01
-14.000000,3.4621998668e-01
-13.000000,3.4599000216e-01
-13.000000,3.2355999947e-01
-13.000000,3.2319000363e-01
-13.000000,3.2286998630e-01
-13.000000,3.2574000955e-01
-13.000000,3.2131999731e-01
-13.000000,3.2295000553e-01
-13.000000,3.2181000710e-01
-13.000000,3.2139998674e-01
-13.000000,3.2080999017e-01
-13.000000,3.2433000207e-01
-13.000000,3.2398000360e-01
-13.000000,3.2104000449e-01
-13.000000,3.2284998894e-01
-12.000000,3.0485001206e-01
-12.000000,3.0788001418e-01
-12.000000,3.0766999722e-01
-12.000000,3.0733999610e-01
-12.000000,3.0540999770e-01
-12.000000,3.0792000890e-01
-12.000000,3.0527999997e-01
-12.000000,3.0619001389e-01
-12.000000,3.0382001400e-01
-12.000000,3.0724999309e-01
-12.000000,3.0781000853e-01
-12.000000,3.0807000399e-01
-11.000000,3.0465999246e-01
-11.000000,2.8716000915e-01
-11.000000,2.8503000736e-01
-11.000000,2.8755000234e-01
-11.000000,2.8444999456e-01
-11.000000,2.8400999308e-01
-11.000000,2.8768000007e-01
-11.000000,2.8580999374e-01
-11.000000,2.8586998582e-01
-11.000000,2.8782001138e-01
-11.000000,2.8806999326e-01
-11.000000,2.8672999144e-01
-11.000000,2.8290998936e-01
-11.000000,2.8734999895e-01
-11.000000,2.8450000286e-01
-10.000000,2.6379999518e-01
-10.000000,2.6546001434e-01
-10.000000,2.6680999994e-01
-10.000000,2.6471999288e-01
-10.000000,2.6387000084e-01
-10.000000,2.6444000006e-01
-10.000000,2.6653999090e-01
-10.000000,2.6440000534e-01
-9.000000,2.3700000346e-01
-9.000000,2.3870000243e-01
-9.000000,2.3509000242e-01
-9.000000,2.3768000305e-01
-9.000000,2.3766000569e-01
-9.000000,2.3623000085e-01
-9.000000,2.3684999347e-01
-9.000000,2.3921999335e-01
-9.000000,2.3637999594e-01
-9.000000,2.3613999784e-01
-8.000000,2.1107999980e-01
-8.000000,2.1154999733e-01
-8.000000,2.1067999303e-01
-8.000000,2.1040999889e-01
-8.000000,2.0985999703e-01
-8.000000,2.1133999527e-01
-8.000000,2.1017000079e-01
-8.000000,2.1047000587e-01
-8.000000,2.1135999262e-01
-8.000000,2.1277000010e-01
-8.000000,2.0915000141e-01
-7.000000,1.8562999368e-01
-7.000000,1.8429000676e-01
-7.000000,1.8243999779e-01
-7.000000,1.8253999949e-01
-7.000000,1.8610000610e-01
-7.000000,1.8536999822e-01
-7.000000,1.8249000609e-01
-7.000000,1.8220999837e-01
-7.000000,1.8359999359e-01
-7.000000,1.8411000073e-01
-7.000000,1.8510000408e-01
-6.000000,1.6024999321e-01
-6.000000,1.5958000720e-01
-6.000000,1.5798999369e-01
-6.000000,1.5818999708e-01
-6.000000,1.5952000022e-01
-6.000000,1.5718999505e-01
-6.000000,1.5948000550e-01
-6.000000,1.5871000290e-01
-6.000000,1.6140000522e-01
-6.000000,1.5913000703e-01
-6.000000,1.5872000158e-01
-6.000000,1.5884000063e-01
-6.000000,1.5808999538e-01
-5.000000,1.2943999469e-01
