npr1_db,metric1,npr2_db,metric2,amp
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102478e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-379.297821,-6.25102539e+02,-379.297821,0.00000000e+00,0
-45.061382,3.12202576e+02,-60.855022,0.00000000e+00,0.001
-45.344025,-6.25158630e+02,-60.904510,0.00000000e+00,0.001
-45.252934,-6.25265015e+02,-60.983463,0.00000000e+00,0.001
-45.063431,-6.25286926e+02,-60.821529,0.00000000e+00,0.001
-45.278095,6.23725830e+02,-60.891365,0.00000000e+00,0.001
-45.101364,6.23795349e+02,-60.760094,0.00000000e+00,0.001
-45.191807,6.23862366e+02,-60.935177,0.00000000e+00,0.001
-45.324268,-3.10214430e-01,-60.888397,0.00000000e+00,0.001
-45.029587,3.12224060e+02,-60.816078,0.00000000e+00,0.001
-45.185730,3.12607086e+02,-60.880436,0.00000000e+00,0.001
-44.942608,-6.25224243e+02,-60.788189,0.00000000e+00,0.001
-45.066532,-6.25031921e+02,-60.906921,0.00000000e+00,0.001
-45.178360,-6.25290771e+02,-60.887451,0.00000000e+00,0.001
-45.141735,6.23848633e+02,-60.835899,0.00000000e+00,0.001
-45.235962,3.12228577e+02,-60.860844,0.00000000e+00,0.001
-45.174286,-3.13899170e+02,-60.881256,0.00000000e+00,0.001
-44.993252,3.12217468e+02,-60.880157,0.00000000e+00,0.001
-45.090008,6.23823853e+02,-60.909382,0.00000000e+00,0.001
-45.172539,-3.12661377e+02,-60.816856,0.00000000e+00,0.001
-45.075584,-1.91987276e-01,-60.842663,0.00000000e+00,0.001
-45.060154,-6.25106506e+02,-60.849018,0.00000000e+00,0.001
-45.106247,3.12270996e+02,-60.838623,0.00000000e+00,0.001
-44.978928,-6.25065369e+02,-60.762398,0.00000000e+00,0.001
-45.122677,6.23758972e+02,-60.973736,0.00000000e+00,0.001
-45.060883,-9.14723575e-02,-60.989212,0.00000000e+00,0.001
-45.071087,3.12316315e+02,-60.910282,0.00000000e+00,0.001
-45.145622,-3.12523163e+02,-60.948215,0.00000000e+00,0.001
-45.263348,3.12437744e+02,-60.914970,0.00000000e+00,0.001
-45.030094,6.23820557e+02,-60.839302,0.00000000e+00,0.001
-45.138393,3.12292694e+02,-60.861477,0.00000000e+00,0.001
-45.278202,-6.25305115e+02,-60.895405,0.00000000e+00,0.001
-45.186981,-6.25171509e+02,-60.927090,0.00000000e+00,0.001
-45.182800,6.23788330e+02,-60.938526,0.00000000e+00,0.001
-45.223331,-6.25286804e+02,-60.901123,0.00000000e+00,0.001
-45.083691,6.23771729e+02,-60.946587,0.00000000e+00,0.001
-33.015842,3.12249878e+02,-48.822342,0.00000000e+00,0.004
-32.971180,-1.80321708e-01,-48.890419,0.00000000e+00,0.004
-33.169731,-5.03018260e-01,-48.821838,0.00000000e+00,0.004
-33.084995,-3.24618489e-01,-48.846645,0.00000000e+00,0.004
-33.216141,-8.32858682e-02,-48.880062,0.00000000e+00,0.004
-33.001095,-2.03573957e-01,-48.827229,0.00000000e+00,0.004
-33.222073,1.92899063e-01,-48.771786,0.00000000e+00,0.004
-32.967651,3.11589020e+02,-48.842564,0.00000000e+00,0.004
-33.221382,-1.03503101e-01,-48.809742,0.00000000e+00,0.004
-33.113400,1.84824750e-01,-48.875038,0.00000000e+00,0.004
-33.239120,-3.13745087e+02,-48.734440,0.00000000e+00,0.004
-33.166508,-3.58713031e-01,-48.804619,0.00000000e+00,0.004
-33.185326,-1.01537690e-01,-48.871414,0.00000000e+00,0.004
-33.125916,-5.04915595e-01,-48.885307,0.00000000e+00,0.004
-33.216660,-2.45438889e-01,-48.849331,0.00000000e+00,0.004
-33.006676,-6.19554877e-01,-48.877903,0.00000000e+00,0.004
-32.970566,1.89171154e-02,-48.859333,0.00000000e+00,0.004
-33.087860,3.32522929e-01,-48.838440,0.00000000e+00,0.004
-33.098717,-6.25425598e+02,-48.812679,0.00000000e+00,0.004
-32.866417,-9.44561209e-04,-48.805054,0.00000000e+00,0.004
-32.994568,-7.95321614e-02,-48.832973,0.00000000e+00,0.004
-33.171391,-4.73782092e-01,-48.879921,0.00000000e+00,0.004
-33.024342,-3.94935250e-01,-48.938484,0.00000000e+00,0.004
-33.152649,6.23539917e+02,-48.791218,0.00000000e+00,0.004
-33.158791,-4.87355031e-02,-48.852982,0.00000000e+00,0.004
-33.095287,-8.26667063e-03,-48.785000,0.00000000e+00,0.004
-33.198307,-1.92680255e-01,-48.784672,0.00000000e+00,0.004
-33.039612,-6.24893433e+02,-48.800797,0.00000000e+00,0.004
-33.036160,2.93762598e-04,-48.888748,0.00000000e+00,0.004
-33.095940,3.11883972e+02,-48.812843,0.00000000e+00,0.004
-33.048798,-1.09835163e-01,-48.844475,0.00000000e+00,0.004
-33.034927,-3.14030762e+02,-48.868355,0.00000000e+00,0.004
-33.038742,-2.96453536e-01,-48.751801,0.00000000e+00,0.004
-33.136433,-4.27174300e-01,-48.755001,0.00000000e+00,0.004
-33.034428,-2.61489838e-01,-48.797684,0.00000000e+00,0.004
-33.043003,-5.65002561e-01,-48.853851,0.00000000e+00,0.004
-33.079487,-3.61526668e-01,-48.806385,0.00000000e+00,0.004
-33.241913,-2.94249952e-01,-48.871819,0.00000000e+00,0.004
-33.037628,-2.21976742e-01,-48.761219,0.00000000e+00,0.004
-33.026314,-5.53231575e-02,-48.837448,0.00000000e+00,0.004
-33.154278,-5.77244878e-01,-48.836990,0.00000000e+00,0.004
-32.984848,-3.51648360e-01,-48.828217,0.00000000e+00,0.004
-33.137344,-1.54057220e-01,-48.875275,0.00000000e+00,0.004
-33.254845,-5.62226713e-01,-48.870613,0.00000000e+00,0.004
