npr1_db,metric1,npr2_db,metric2,amp
14.736485,nan,-0.857105,1.27278900e+00,1
14.851727,nan,-0.822077,1.58469057e+00,1
14.890163,nan,-0.896993,1.47158015e+00,1
14.969873,7.12296772e+00,-0.878287,3.17079544e+00,1
14.996902,7.12296772e+00,-0.878196,1.84046733e+00,1
14.866934,2.52530169e+00,-0.869138,2.76169443e+00,1
14.806612,2.52530169e+00,-0.914471,1.21143532e+00,1
14.884471,2.52530169e+00,-0.882302,2.91512012e+00,1
14.887201,3.97440290e+00,-0.863138,5.89917803e+00,1
14.745270,3.97440290e+00,-0.904234,1.88093305e+00,1
14.865152,2.05594659e+00,-0.844360,2.71226788e+00,1
14.944190,2.05594659e+00,-0.951358,1.08646810e+00,1
14.918543,1.06506300e+00,-0.844828,3.57531786e+00,1
14.899169,1.49111474e+00,-0.998784,5.19404507e+00,1
14.869442,1.97612417e+00,-0.926357,1.03413248e+00,1
14.832778,1.97612417e+00,-0.915837,1.89099479e+00,1
14.734289,2.28881526e+00,-0.905119,2.23529267e+00,1
14.847067,2.28881526e+00,-0.840142,4.37686872e+00,1
14.907234,2.28881526e+00,-0.866945,1.73175859e+00,1
14.931874,2.28881526e+00,-0.855390,4.03661108e+00,1
14.792824,2.41337323e+00,-0.855201,4.03661108e+00,1
14.845572,2.41337323e+00,-0.879653,1.27173340e+00,1
14.856169,1.95949352e+00,-0.877488,1.03997588e+00,1
14.813425,1.95949352e+00,-0.996605,1.69235492e+00,1
14.886419,3.10782266e+00,-0.807968,7.85092545e+00,1
14.835553,3.10782266e+00,-0.867213,1.61852670e+00,1
14.927473,1.38134015e+00,-0.944145,1.89949012e+00,1
14.822426,2.79821444e+00,-0.915258,1.26827180e+00,1
14.843264,1.73982596e+00,-0.913722,2.69975877e+00,1
14.758490,1.73982596e+00,-0.923809,1.77137649e+00,1
14.812846,1.73982596e+00,-0.951345,2.67332101e+00,1
14.934690,1.88954496e+00,-0.905742,2.92835140e+00,1
14.813643,1.88954496e+00,-1.002686,1.20212102e+00,1
14.811177,2.37253261e+00,-0.882893,3.47067308e+00,1
14.872046,2.37253261e+00,-0.885177,1.98284483e+00,1
15.029560,2.37253261e+00,-0.890731,2.86044550e+00,1
14.787611,1.37773490e+00,-0.886013,2.54896188e+00,1
14.843403,1.64186192e+00,-0.836857,1.56992698e+00,1
14.952824,1.89452982e+00,-0.971672,1.22470677e+00,1
14.758363,1.89452982e+00,-0.910080,1.65739846e+00,1
14.977351,2.81193900e+00,-0.826826,1.58573461e+00,1
14.920855,2.81193900e+00,-0.896319,1.36775267e+00,1
14.959661,2.81193900e+00,-0.884275,1.51815605e+00,1
14.726597,1.72457099e+00,-0.846992,2.58063221e+00,1
14.875146,1.72457099e+00,-0.865426,1.91701281e+00,1
14.853804,1.72457099e+00,-0.868927,6.99631596e+00,1
14.968480,1.17238736e+00,-0.890968,3.06695819e+00,1
14.930202,1.73238885e+00,-0.875213,3.46839309e+00,1
8.940025,1.62085307e+00,-6.933374,4.58261633e+00,0.5
8.922310,1.73247564e+00,-6.859787,4.54245329e+00,0.5
8.712085,3.51216769e+00,-6.873090,1.26915979e+00,0.5
8.996753,1.83354580e+00,-6.847854,2.53042626e+00,0.5
8.889271,1.83354580e+00,-6.942594,1.86164796e+00,0.5
8.719777,1.67000020e+00,-6.888453,8.29452324e+00,0.5
8.734376,1.67000020e+00,-6.897326,1.65731788e+00,0.5
8.842530,1.67000020e+00,-6.920416,1.56915283e+00,0.5
8.933729,1.03360462e+00,-7.018486,1.70490372e+00,0.5
8.768329,1.03360462e+00,-6.784583,2.51054478e+00,0.5
8.730650,1.44992983e+00,-6.876654,2.19757438e+00,0.5
8.905777,1.33386528e+00,-6.934410,1.92522967e+00,0.5
