npr1_db,metric1,npr2_db,metric2,amp
14.755583,-3.16E+00,-0.845495,-5.10E+00,1
14.814038,-2.82E+00,-0.90643,-2.70E+00,1
14.859471,-2.99E+00,-0.806742,1.23E+00,1
14.896626,-4.93E+00,-0.906372,-4.33E+00,1
14.902158,-8.49E+00,-0.848444,1.27E+00,1
14.814502,4.21E-01,-0.857109,-7.13E+00,1
14.94583,3.13E-02,-0.868765,-1.04E+00,1
14.809457,-1.74E-02,-0.927768,-6.08E+00,1
14.725592,-3.22E+00,-0.8445,5.43E+00,1
14.915408,3.11E+00,-0.935345,-1.49E+00,1
14.724641,-3.96E+00,-0.899219,-3.40E+00,1
14.756344,-1.08E+01,-0.897097,2.62E+00,1
14.920541,2.21E+00,-0.881768,-1.23E+00,1
14.945127,-8.52E+00,-0.838086,4.71E+00,1
14.886982,-1.09E+00,-0.866934,-4.03E+00,1
14.817352,-5.45E+00,-0.918707,1.10E+00,1
14.780014,1.36E+00,-0.885438,2.87E+00,1
14.926988,4.80E+00,-0.852183,-1.08E+01,1
14.781229,-2.30E+00,-0.85884,-6.27E+00,1
14.836464,1.61E+00,-0.877914,-2.00E+00,1
14.892596,-1.49E+01,-0.926638,-1.95E+01,1
14.90663,-1.22E+01,-0.911534,-9.34E+00,1
14.827105,7.85E-01,-0.775763,2.02E-01,1
14.891395,4.57E-01,-0.934656,1.35E+00,1
14.887726,-2.62E+00,-0.902027,-8.10E+00,1
14.973675,-2.74E+00,-0.972782,-1.93E+00,1
14.89235,7.74E-01,-0.956512,-1.88E+00,1
14.945594,2.68E-01,-0.791427,-1.26E+00,1
13.876605,-2.94E+00,-1.81489,-3.56E+00,0.9
13.938128,9.85E-01,-1.887939,-1.61E+00,0.9
14.043511,-1.66E+00,-1.810785,-1.14E+01,0.9
13.870464,-4.85E-01,-1.819103,-8.80E+00,0.9
13.992008,-1.18E+01,-1.827899,-5.37E+00,0.9
13.941986,-7.00E+00,-1.797101,3.04E+00,0.9
14.023369,-1.13E-01,-1.80708,3.95E+00,0.9
13.860983,-3.32E+00,-1.817905,-1.48E-01,0.9
13.850204,-3.77E+00,-1.765969,-3.51E+00,0.9
13.921638,-2.96E+00,-1.791886,-7.49E-01,0.9
13.888584,5.63E+00,-1.74325,2.12E+00,0.9
14.02598,-1.33E+00,-1.861877,3.28E+00,0.9
13.981944,-3.97E+00,-1.842616,-1.36E+00,0.9
13.840169,3.08E+00,-1.793684,1.16E+00,0.9
13.935042,1.38E+00,-1.836062,-6.06E+00,0.9
13.860799,-3.06E+00,-1.833796,-6.85E-01,0.9
13.818378,2.55E+00,-1.802864,-7.42E+00,0.9
13.901583,3.15E+00,-1.769142,3.80E+00,0.9
13.957022,-2.21E+00,-1.835194,-6.17E+00,0.9
13.909224,8.95E-01,-1.786712,3.20E-01,0.9
13.99149,5.74E+00,-1.76144,-8.08E+00,0.9
13.961174,-1.21E+00,-1.797702,2.45E+00,0.9
13.90087,-8.89E+00,-1.775254,-1.77E+00,0.9
13.863905,1.98E+00,-1.829254,1.82E+00,0.9
13.840992,-1.23E-01,-1.788226,-2.88E+00,0.9
12.900915,-2.74E+00,-2.90052,2.29E+00,0.8
12.969522,-1.21E+00,-2.855535,-7.59E+00,0.8
12.890082,3.32E-01,-2.912608,-6.26E+00,0.8
13.060031,-7.47E+00,-2.79774,-6.26E+00,0.8
12.916871,-2.35E+01,-2.812393,-2.46E+00,0.8
12.80084,1.50E+00,-2.783112,-5.53E+00,0.8
13.007486,-2.61E+00,-2.89932,3.32E-01,0.8
12.961421,1.53E+00,-2.864791,1.90E+00,0.8
12.772493,-1.79E+00,-2.806589,-3.46E+00,0.8
13.01597,-8.62E+00,-2.867924,4.98E-01,0.8
12.962719,-1.41E+00,-2.762343,-2.10E+00,0.8
13.038727,-6.55E-01,-2.759124,-3.61E-01,0.8
12.871356,4.86E-01,-2.809993,4.29E-01,0.8
12.929143,-1.93E+00,-2.848493,3.30E+00,0.8
12.81978,-4.42E+00,-2.812546,2.39E-01,0.8
12.889425,-3.03E+00,-2.824098,2.96E+00,0.8
12.926244,-8.56E+00,-2.791527,-6.05E+00,0.8
13.054341,-1.34E+01,-2.907279,-3.46E+00,0.8
12.918306,2.06E+00,-2.805204,-4.91E+00,0.8
12.802271,-2.37E+00,-2.839734,2.06E+00,0.8
12.990727,-3.98E+00,-2.728936,2.42E+00,0.8
12.94931,2.72E+00,-2.839973,3.76E+00,0.8
12.947237,4.19E+00,-2.770482,-3.50E+00,0.8
12.94195,-2.30E+00,-2.80778,2.80E+00,0.8
12.76935,3.18E+00,-2.833627,-9.93E-01,0.8
12.821169,-1.34E+00,-2.872443,-4.70E+00,0.8
12.95974,-5.52E+00,-2.828361,3.29E+00,0.8
12.939967,-1.06E+01,-2.822865,-4.17E+00,0.8
12.91954,-8.87E+00,-2.85236,-2.29E+00,0.8
13.025465,-1.41E+00,-2.860184,1.76E+00,0.8
12.824221,1.63E-01,-2.835862,3.61E-01,0.8
12.825555,-3.42E+00,-2.835399,-3.22E+01,0.8
12.985378,-2.57E+00,-2.895766,-1.51E+00,0.8
11.884809,2.65E+00,-4.099268,-2.32E+00,0.7
11.927527,-3.27E+00,-3.989525,6.48E-01,0.7
11.653975,-9.54E+00,-3.95187,-1.87E+00,0.7
11.670166,2.40E+00,-3.967045,-1.33E+01,0.7
11.92638,-9.54E+00,-3.970438,-4.87E+00,0.7
11.709787,4.49E+00,-3.978205,1.36E-02,0.7
11.812857,-1.77E+01,-4.054092,-1.79E-01,0.7
11.869442,1.04E+00,-3.9606,6.21E-01,0.7
11.875554,-8.96E-01,-4.03305,-3.05E+00,0.7
11.82406,-4.52E+00,-3.942317,-9.14E-01,0.7
11.724185,-4.11E+00,-4.025087,9.08E-01,0.7
11.83078,-6.06E+00,-4.045783,-5.22E+00,0.7
11.821913,-7.45E+00,-4.047781,2.54E+00,0.7
11.789812,-7.79E+00,-4.027208,1.55E+00,0.7
11.708893,-8.98E-02,-4.032216,-1.56E+00,0.7
11.874791,-1.95E+01,-4.014,-6.64E+00,0.7
11.665035,1.17E+00,-4.00194,-2.83E+00,0.7
11.628229,2.10E+00,-3.937598,3.33E+00,0.7
11.908924,-2.98E+00,-3.976157,-1.14E+00,0.7
11.843805,2.66E+00,-4.064361,1.56E+00,0.7
11.831559,-2.06E+00,-4.091275,-3.94E+00,0.7
11.61303,-5.60E+00,-3.896699,-4.71E+00,0.7
11.68874,-1.99E+01,-3.979222,-5.04E+00,0.7
11.708855,-4.68E-02,-3.960382,-2.02E+00,0.7
11.710089,3.61E+00,-4.094022,-1.09E+01,0.7
11.820493,-7.65E+00,-4.026952,4.16E+00,0.7
11.748835,-7.55E+00,-3.981576,-1.56E+00,0.7
11.815024,4.38E-02,-3.99254,9.88E-01,0.7
11.678758,-2.10E-01,-4.079283,-1.91E+00,0.7
11.932005,3.59E-01,-4.006965,-1.18E+01,0.7
11.821981,-3.52E-01,-3.951025,-6.53E+00,0.7
10.335933,-1.63E+00,-5.279291,-1.01E+00,0.6
10.316676,3.80E+00,-5.404455,3.96E+00,0.6
10.315557,-6.77E+00,-5.235743,-2.18E+00,0.6
10.560823,-9.03E+00,-5.309683,-1.10E+01,0.6
10.298607,3.50E-01,-5.350456,-4.59E-01,0.6
10.491046,-7.43E+00,-5.342501,8.75E-01,0.6
10.426069,-2.21E+00,-5.311975,-2.45E+00,0.6
10.315733,-3.60E+00,-5.384379,3.69E+00,0.6
10.451777,-2.29E+00,-5.310251,-1.67E+00,0.6
10.489001,-2.33E+00,-5.267834,-3.34E+00,0.6
10.333044,1.98E+00,-5.424661,-7.60E-01,0.6
10.52306,-6.14E+00,-5.341873,-6.77E+00,0.6
10.322732,-5.53E+00,-5.255166,9.69E-01,0.6
10.560354,-3.48E-01,-5.296893,-7.06E+00,0.6
10.376469,-4.90E+00,-5.320446,-4.39E+00,0.6
10.337901,-3.93E+00,-5.219623,-6.32E+00,0.6
10.363778,-1.27E+00,-5.271326,-3.01E+00,0.6
10.346385,4.13E+00,-5.32377,1.95E+00,0.6
10.558743,-6.88E+00,-5.322401,9.52E-01,0.6
10.286934,3.26E+00,-5.32233,-1.03E+01,0.6
10.502243,-3.82E+00,-5.338832,-3.02E+00,0.6
10.288193,5.35E-01,-5.291984,-4.42E+00,0.6
10.5019,-1.71E+00,-5.268215,-6.69E+00,0.6
10.343484,-1.38E+01,-5.30065,2.82E+00,0.6
10.523724,-1.26E+01,-5.434995,1.35E-01,0.6
10.392828,-1.43E+01,-5.284486,-4.66E+00,0.6
10.516836,4.28E-01,-5.347019,-2.50E+00,0.6
10.370201,-6.02E+00,-5.360872,-7.41E+00,0.6
10.318593,-6.30E+00,-5.359259,-2.78E+00,0.6
10.38899,6.22E+00,-5.338361,1.02E-01,0.6
10.480949,-5.41E+00,-5.276354,-4.34E+00,0.6
8.91418,-4.54E-01,-6.950553,1.72E-01,0.5
8.876154,2.76E+00,-6.876421,-6.13E-01,0.5
8.732399,3.63E+00,-6.930856,1.35E-01,0.5
8.749468,-1.81E+00,-6.906839,-1.02E+01,0.5
8.821582,3.27E+00,-6.849333,-4.20E+00,0.5
8.842206,-2.58E-02,-6.883826,-6.81E+00,0.5
8.87224,-4.11E-02,-6.811175,-5.65E+00,0.5
8.887943,-1.38E+01,-6.937149,1.52E-01,0.5
8.936513,-7.54E+00,-6.932916,1.55E+00,0.5
8.945038,8.42E-01,-6.916012,-1.01E+01,0.5
8.869551,6.58E-02,-6.887651,-6.29E+00,0.5
8.938553,2.48E+00,-6.873292,3.15E+00,0.5
8.812296,3.76E+00,-6.950923,-5.34E-01,0.5
8.77148,-7.18E+00,-6.893657,-1.01E+01,0.5
8.882561,3.53E+00,-6.956063,-4.08E+00,0.5
8.714128,-2.30E+00,-6.93468,-1.12E+00,0.5
8.864059,3.18E+00,-6.845132,-8.67E-02,0.5
8.952964,-3.66E+00,-6.874002,1.38E+00,0.5
8.912476,-6.98E+00,-6.874411,5.22E-01,0.5
8.917543,5.10E+00,-6.807629,-9.54E-01,0.5
8.78966,-8.23E+00,-6.906108,1.29E+00,0.5
8.936244,-2.35E-01,-6.926857,-1.01E+00,0.5
8.820422,1.62E+00,-6.86204,-3.44E+00,0.5
8.775146,-8.42E+00,-6.850599,-1.04E+01,0.5
8.995045,-8.46E+00,-6.882034,1.83E-01,0.5
8.983927,3.30E+00,-6.893777,-7.68E+00,0.5
8.836946,-2.37E+00,-6.94403,4.46E+00,0.5
8.702671,2.12E+00,-6.901005,-4.95E+00,0.5
8.949272,-1.59E+00,-6.949776,-2.67E+00,0.5
8.769159,2.52E+00,-6.917909,6.53E-01,0.5
9.059712,-6.53E+00,-6.854443,-2.63E+00,0.5
8.928114,-3.17E+00,-6.91149,1.25E+00,0.5
8.880037,-6.41E+00,-7.023602,4.21E+00,0.5
8.763246,1.17E+00,-6.962289,-2.67E+00,0.5
8.72615,-2.65E+00,-6.961919,-4.13E-01,0.5
