snr1_db,metric1,snr2_db,metric2,amp
0.000000,nan,-21.514734,3.35004258e+00,1
0.479308,7.12296772e+00,-6.229804,3.17079544e+00,1
-3.364510,2.52530169e+00,-4.930946,2.76169443e+00,1
-3.364510,2.52530169e+00,-4.214372,5.89900589e+00,1
-6.679615,3.97440290e+00,1.021162,1.88093460e+00,1
-7.439645,2.05594659e+00,-2.278170,1.08646679e+00,1
-10.199530,1.49111474e+00,-8.475430,5.19404507e+00,1
-8.190265,1.97612417e+00,-3.505622,1.89100373e+00,1
1.154629,2.28881598e+00,-4.617177,2.87329817e+00,1
-10.353717,4.01165628e+00,-21.919239,4.03661108e+00,1
-15.107450,2.41336775e+00,-3.269248,2.94086099e+00,1
-14.718290,1.95949352e+00,-2.569343,1.69235492e+00,1
-8.981221,3.10782266e+00,-2.781640,1.61852670e+00,1
2.325889,2.79821444e+00,-7.010959,1.26826870e+00,1
-1.986778,1.73982596e+00,-9.113337,3.15648079e+00,1
-6.526897,1.88954449e+00,-14.758324,9.73638475e-01,1
-0.373165,2.37253261e+00,-8.800241,7.75199509e+00,1
-0.373165,2.37253261e+00,-8.993690,1.38606215e+00,1
-9.533504,1.64186966e+00,1.761207,1.22470677e+00,1
-0.491686,2.81193900e+00,-15.762273,1.34495580e+00,1
-0.491686,2.81193900e+00,-4.223585,1.51815712e+00,1
-9.069516,1.72457099e+00,-8.801299,1.11070931e+00,1
-9.069516,1.72457099e+00,-3.925020,1.15761948e+00,1
-9.069516,1.72457099e+00,-0.852728,6.99631596e+00,1
0.414307,1.17238271e+00,-15.671037,3.06696153e+00,1
0.414307,1.17238271e+00,-4.791359,3.46839309e+00,1
-3.428852,1.73239291e+00,0.446692,1.42972159e+00,1
-3.428852,1.73239291e+00,-4.142734,1.89475870e+00,1
3.171347,1.50539708e+00,-4.142734,1.89475870e+00,1
3.171347,1.50539708e+00,-15.312346,4.24743366e+00,1
-9.139083,1.32059085e+00,-8.863622,1.82965362e+00,1
-9.139083,1.32059085e+00,-3.870959,2.64515519e+00,1
-6.501489,1.06809783e+00,-8.788417,4.42803097e+00,1
-6.501489,1.06809783e+00,-2.434952,3.34444785e+00,1
-11.539376,1.65102828e+00,-0.136091,2.88658857e+00,1
-11.539376,1.65102828e+00,-4.496093,2.97013998e+00,1
-11.539376,1.65102828e+00,-5.529274,1.62878227e+00,1
-11.539376,1.65102828e+00,0.362715,2.87773609e+00,1
0.340715,1.31444812e+00,-3.251447,1.42102492e+00,1
0.340715,1.31444812e+00,-1.730769,1.07573354e+00,1
-2.821420,1.28558064e+00,-21.222672,8.79617977e+00,1
-2.147492,1.62060905e+00,-0.413205,3.01001668e+00,1
-2.147492,1.62060905e+00,-28.797062,3.49274945e+00,1
-7.464215,1.38770592e+00,-4.637163,3.06455612e+00,1
-1.393278,1.84658873e+00,-4.825015,2.27824426e+00,1
-1.393278,1.84658873e+00,-21.349649,1.41515172e+00,1
-0.814923,1.71468890e+00,-0.272741,1.87287879e+00,1
-10.291422,1.73569572e+00,-8.315374,1.59664321e+00,1
-10.291422,1.73569572e+00,-1.518851,2.71539974e+00,1
-5.329827,9.81272411e+00,-6.023533,1.35490012e+00,1
-5.329827,9.81272411e+00,-6.720212,2.86034298e+00,1
-5.329827,9.81272411e+00,-9.564924,1.34069109e+00,1
-1.005731,2.22559714e+00,-7.779181,1.94773173e+00,1
-1.005731,2.22559714e+00,-9.365558,1.97460294e+00,1
-1.005731,2.22559714e+00,-1.534232,2.56866455e+00,1
-20.250235,1.85801935e+00,-4.245132,1.35996878e+00,1
-20.250235,1.85801935e+00,-13.422291,1.68759751e+00,1
1.689940,1.72890830e+00,-2.974886,1.98947763e+00,1
-7.998777,1.43186677e+00,-6.641221,2.35268140e+00,1
-4.068814,2.76461244e+00,-5.130278,2.54009891e+00,1
-4.068814,2.76461244e+00,-3.823578,1.82868314e+00,1
-4.068814,2.76461244e+00,-8.041263,3.30908060e+00,1
-4.068814,2.76461244e+00,-5.959657,1.77265108e+00,1
-4.839373,2.31923270e+00,1.655333,3.22324753e+00,1
-9.905560,5.00150824e+00,-1.906211,5.25235033e+00,1
-8.778356,2.13754845e+00,-7.779964,4.68237686e+00,1
-8.778356,2.13754845e+00,0.817419,2.12716961e+00,1
-8.778356,2.13754845e+00,-4.395391,3.10203910e+00,1
0.604439,4.26489639e+00,-4.099603,1.07173479e+00,1
-2.056909,1.55795455e+00,-5.513849,3.06256413e+00,1
-5.464015,1.90791082e+00,-5.328721,1.57913256e+00,1
-5.958876,3.45529652e+00,-5.080765,5.26610994e+00,1
-1.132823,1.53738010e+00,-2.371291,4.41827965e+00,1
-0.515170,1.71559799e+00,-10.579425,1.80351555e+00,1
-5.556664,1.99154937e+00,-20.082045,6.60573339e+00,1
-7.182797,8.83016944e-01,-6.680077,2.50994444e+00,1
-9.072240,5.71027803e+00,-3.768305,9.97414291e-01,1
-9.072240,5.71027803e+00,0.085191,1.23990297e+01,1
-6.990751,1.09114623e+00,-5.117225,1.47951901e+00,1
-1.940888,1.92632544e+00,-9.029261,1.47657800e+00,1
-1.940888,1.92632544e+00,-0.957737,2.88745952e+00,1
-0.511073,1.22555304e+00,-2.251548,3.33009934e+00,1
-5.506100,3.46615601e+00,-12.299933,5.01062107e+00,1
-5.506100,3.46615601e+00,-2.622267,1.49754012e+00,1
-5.506100,3.46615601e+00,-5.694724,1.66012669e+00,1
-5.506100,3.46615601e+00,-2.769872,1.47155344e+00,1
-5.506100,3.46615601e+00,0.653427,1.40816450e+00,1
-4.381445,4.12465715e+00,-4.503189,1.24749470e+00,1
-4.381445,4.12465715e+00,-3.063395,2.71621323e+00,1
-4.381445,4.12465715e+00,-11.641201,7.77689600e+00,1
-4.381445,4.12465715e+00,-2.889450,1.32528210e+00,1
-4.381445,4.12465715e+00,-15.645718,2.30597067e+00,1
-0.545480,1.28068638e+00,-0.722987,2.00127816e+00,1
-0.545480,1.28068638e+00,-3.891480,1.20329964e+00,1
-10.942857,4.30843353e+00,-2.614833,1.32917571e+00,1
-7.453840,1.11554432e+00,-3.955142,2.53150511e+00,1
-7.453840,1.11554432e+00,-3.812179,2.95527005e+00,1
-1.968316,1.94504344e+00,-7.838228,1.51406407e+00,1
-1.968316,1.94504344e+00,0.011233,1.33128977e+00,1
-2.239243,1.34751391e+00,-6.827782,3.14358997e+00,1
-3.665053,2.51447010e+00,-12.244237,1.49396098e+00,1
-6.103235,1.40659511e+00,-3.960793,1.97036529e+00,1
-6.103235,1.40659511e+00,1.768057,1.59685004e+00,1
-4.246306,1.53270686e+00,-6.135942,1.83442748e+00,1
-4.162921,7.85360765e+00,-9.223790,2.56731677e+00,1
-4.162921,7.85360765e+00,-12.490870,4.16319704e+00,1
-4.162921,7.85360765e+00,-9.098071,1.72728574e+00,1
-11.437253,1.76819217e+00,-4.644676,3.21087813e+00,1
-11.437253,1.76819217e+00,-1.862366,2.00665927e+00,1
-11.437253,1.76819217e+00,-5.375407,2.36708760e+00,1
-5.673645,9.73400831e-01,-9.350930,1.57286894e+00,1
-5.673645,9.73400831e-01,-6.665645,2.06336164e+00,1
-0.593727,1.22316813e+00,-8.891165,1.28025031e+00,1
-0.593727,1.22316813e+00,-0.723743,1.09309220e+00,1
-4.526347,1.17723715e+00,-2.937649,1.60963571e+00,1
-4.526347,1.17723715e+00,-9.928018,1.52286041e+00,1
1.089527,1.00546336e+00,-5.919124,1.82897723e+00,1
-6.144380,1.22741044e+00,-2.692983,2.31940627e+00,1
-3.402930,2.82829118e+00,-14.581077,1.27101815e+00,1
-3.874774,1.18824589e+00,-0.979219,1.42335272e+00,1
-3.874774,1.18824589e+00,-12.355270,2.47987294e+00,1
-2.263659,1.28869891e+00,-10.172912,2.98736930e+00,1
-1.963879,9.59985554e-01,-1.321881,1.30916810e+00,1
-18.780386,1.79807353e+00,-0.646008,2.05979800e+00,1
-18.780386,1.79807353e+00,1.129972,2.48561168e+00,1
-1.223860,1.30589426e+00,-19.541542,1.10506439e+00,1
-1.223860,1.30589426e+00,-8.859987,1.92428637e+00,1
-1.223860,1.30589426e+00,-2.015940,7.30635691e+00,1
-14.278712,1.89302421e+00,-10.256597,4.23373318e+00,1
-14.278712,1.89302421e+00,1.097688,2.06247330e+00,1
-5.805083,1.65780020e+00,-1.402875,2.48559141e+00,1
-9.206446,1.49159694e+00,-1.801252,2.73127604e+00,1
-9.206446,1.49159694e+00,-4.204467,2.96457601e+00,1
-0.737230,3.69310975e+00,-6.169140,2.83258653e+00,1
-5.005952,1.70432544e+00,2.664034,2.16543818e+00,1
-8.853696,1.19967258e+00,-9.122184,2.18457961e+00,1
-8.853696,1.19967258e+00,-1.072372,3.14618349e+00,1
-8.853696,1.19967258e+00,-5.862059,2.26694894e+00,1
-20.228851,2.33477974e+00,-5.255675,4.40936804e+00,1
-8.166577,1.65312374e+00,0.348162,1.96352458e+00,1
-8.220108,1.15735996e+00,-10.320860,1.66373277e+00,0.9
-5.877449,9.65994120e-01,-4.496119,2.60063696e+00,0.9
-2.973078,2.48220587e+00,-13.987355,2.76656699e+00,0.9
-9.855984,4.68682384e+00,-1.819361,2.90460396e+00,0.9
-6.679595,3.99011660e+00,-8.247093,2.38315487e+00,0.9
-6.679595,3.99011660e+00,-10.051992,2.31044769e+00,0.9
-6.679595,3.99011660e+00,-10.902865,2.38722897e+00,0.9
-6.679595,3.99011660e+00,0.458347,6.26102877e+00,0.9
-8.838730,1.97042882e+00,-4.602218,2.91642761e+00,0.9
-8.838730,1.97042882e+00,0.826949,2.05429101e+00,0.9
-8.838730,1.97042882e+00,-3.972092,1.70268965e+00,0.9
-8.838730,1.97042882e+00,-8.080349,9.63854551e-01,0.9
-8.629910,2.51304626e+00,-13.114353,4.09388685e+00,0.9
-14.091423,4.74185324e+00,-8.426970,1.33789933e+00,0.9
-14.091423,4.74185324e+00,-10.291855,1.63055861e+00,0.9
