epoch,mean_loss,lr,attn_type
0,1842.8155029296875,0.001,ComplexMultiheadAttention
0,1818.5649291992188,0.001,ComplexMultiheadAttention
1,1367.432147216797,0.001,ComplexMultiheadAttention
2,1141.7048278808593,0.001,ComplexMultiheadAttention
3,998.9272033691407,0.001,ComplexMultiheadAttention
4,838.8151611328125,0.001,ComplexMultiheadAttention
5,827.6160186767578,0.001,ComplexMultiheadAttention
6,763.7822052001953,0.001,ComplexMultiheadAttention
7,702.0920997619629,0.001,ComplexMultiheadAttention
8,736.9989162445069,0.001,ComplexMultiheadAttention
9,633.5358993530274,0.001,ComplexMultiheadAttention
10,538.8521022796631,0.001,ComplexMultiheadAttention
11,473.9306167602539,0.001,ComplexMultiheadAttention
12,423.5715040206909,0.001,ComplexMultiheadAttention
13,427.4115409851074,0.001,ComplexMultiheadAttention
14,444.81499977111815,0.001,ComplexMultiheadAttention
15,395.62145843505857,0.001,ComplexMultiheadAttention
16,355.94976673126223,0.001,ComplexMultiheadAttention
17,335.0027052402496,0.001,ComplexMultiheadAttention
18,296.6781103134155,0.001,ComplexMultiheadAttention
19,272.43514399528505,0.001,ComplexMultiheadAttention
20,277.0323251724243,0.001,ComplexMultiheadAttention
21,254.310688495636,0.001,ComplexMultiheadAttention
22,260.00771713256836,0.001,ComplexMultiheadAttention
23,287.4183477401733,0.001,ComplexMultiheadAttention
24,369.5385003089905,0.001,ComplexMultiheadAttention
25,378.02056856155394,0.001,ComplexMultiheadAttention
26,394.2968334197998,0.0005,ComplexMultiheadAttention
27,246.34502563476562,0.0005,ComplexMultiheadAttention
28,203.8675407409668,0.0005,ComplexMultiheadAttention
29,160.74120979309083,0.0005,ComplexMultiheadAttention
30,127.28309364318848,0.0005,ComplexMultiheadAttention
31,108.86468024253845,0.0005,ComplexMultiheadAttention
32,82.96305389404297,0.0005,ComplexMultiheadAttention
33,64.0574211359024,0.0005,ComplexMultiheadAttention
34,50.50401532649994,0.0005,ComplexMultiheadAttention
35,41.39495949745178,0.0005,ComplexMultiheadAttention
36,36.79028298854828,0.0005,ComplexMultiheadAttention
37,36.02806572914123,0.0005,ComplexMultiheadAttention
38,42.68097186088562,0.0005,ComplexMultiheadAttention
39,41.263019275665286,0.0005,ComplexMultiheadAttention
40,50.5343243598938,0.0005,ComplexMultiheadAttention
41,61.50433535575867,0.0005,ComplexMultiheadAttention
42,43.13575339317322,0.00025,ComplexMultiheadAttention
43,25.720787858963014,0.00025,ComplexMultiheadAttention
44,19.714803957939147,0.00025,ComplexMultiheadAttention
45,15.832474279403687,0.00025,ComplexMultiheadAttention
46,13.578574466705323,0.00025,ComplexMultiheadAttention
